sp	genome_group	genome	chr	start	size	chr2	group
TgGT1	TGS-assembly	TgGT1-assembly	ChrIa	0	1996919 	ChrIa	TgGT1
TgGT1	TGS-assembly	TgGT1-assembly	ChrIb	0	2025112 	ChrIb	TgGT1
TgGT1	TGS-assembly	TgGT1-assembly	ChrII	0	2543620 	ChrII	TgGT1
TgGT1	TGS-assembly	TgGT1-assembly	ChrIII	0	2661098 	ChrIII	TgGT1
TgGT1	TGS-assembly	TgGT1-assembly	ChrIV	0	2803162 	ChrIV	TgGT1
TgGT1	TGS-assembly	TgGT1-assembly	ChrV	0	3482048 	ChrV	TgGT1
TgGT1	TGS-assembly	TgGT1-assembly	ChrVI	0	3893093 	ChrVI	TgGT1
TgGT1	TGS-assembly	TgGT1-assembly	ChrVIII	0	12060859 	ChrVIII	TgGT1
TgGT1	TGS-assembly	TgGT1-assembly	ChrVIIa	0	4649039 	ChrVIIa	TgGT1
TgGT1	TGS-assembly	TgGT1-assembly	ChrIX	0	6650217 	ChrIX	TgGT1
TgGT1	TGS-assembly	TgGT1-assembly	ChrX	0	7891380 	ChrX	TgGT1
TgGT1	TGS-assembly	TgGT1-assembly	ChrXI	0	6681905 	ChrXI	TgGT1
TgGT1	TGS-assembly	TgGT1-assembly	ChrXII	0	7355237 	ChrXII	TgGT1
TgPRU	TGS-assembly	TgPRU-assembly	ChrIa	0	1994116 	ChrIa	TgPRU
TgPRU	TGS-assembly	TgPRU-assembly	ChrIb	0	1973782 	ChrIb	TgPRU
TgPRU	TGS-assembly	TgPRU-assembly	ChrII	0	2520056 	ChrII	TgPRU
TgPRU	TGS-assembly	TgPRU-assembly	ChrIII	0	2573922 	ChrIII	TgPRU
TgPRU	TGS-assembly	TgPRU-assembly	ChrIV	0	2811927 	ChrIV	TgPRU
TgPRU	TGS-assembly	TgPRU-assembly	ChrV	0	3471197 	ChrV	TgPRU
TgPRU	TGS-assembly	TgPRU-assembly	ChrVI	0	3792114 	ChrVI	TgPRU
TgPRU	TGS-assembly	TgPRU-assembly	ChrVIII	0	12070103 	ChrVIII	TgPRU
TgPRU	TGS-assembly	TgPRU-assembly	ChrVIIa	0	4648276 	ChrVIIa	TgPRU
TgPRU	TGS-assembly	TgPRU-assembly	ChrIX	0	6582530 	ChrIX	TgPRU
TgPRU	TGS-assembly	TgPRU-assembly	ChrX	0	7616671 	ChrX	TgPRU
TgPRU	TGS-assembly	TgPRU-assembly	ChrXI	0	6686053 	ChrXI	TgPRU
TgPRU	TGS-assembly	TgPRU-assembly	ChrXII	0	7398171 	ChrXII	TgPRU
TgVEG	TGS-assembly	TGVEG-assembly	ChrIa	0	1996382 	ChrIa	TgVEG
TgVEG	TGS-assembly	TGVEG-assembly	ChrIb	0	2024031 	ChrIb	TgVEG
TgVEG	TGS-assembly	TGVEG-assembly	ChrII	0	2521937 	ChrII	TgVEG
TgVEG	TGS-assembly	TGVEG-assembly	ChrIII	0	2669938 	ChrIII	TgVEG
TgVEG	TGS-assembly	TGVEG-assembly	ChrIV	0	2311520 	ChrIV	TgVEG
TgVEG	TGS-assembly	TGVEG-assembly	ChrV	0	3460508 	ChrV	TgVEG
TgVEG	TGS-assembly	TGVEG-assembly	ChrVI	0	3898247 	ChrVI	TgVEG
TgVEG	TGS-assembly	TGVEG-assembly	ChrVIII	0	12066686 	ChrVIII	TgVEG
TgVEG	TGS-assembly	TGVEG-assembly	ChrVIIa	0	4649337 	ChrVIIa	TgVEG
TgVEG	TGS-assembly	TGVEG-assembly	ChrIX	0	6628986 	ChrIX	TgVEG
TgVEG	TGS-assembly	TGVEG-assembly	ChrX	0	7868872 	ChrX	TgVEG
TgVEG	TGS-assembly	TGVEG-assembly	ChrXI	0	6798970 	ChrXI	TgVEG
TgVEG	TGS-assembly	TGVEG-assembly	ChrXII	0	7362360 	ChrXII	TgVEG
TgGT1	ToxoDB-reference	ToxoDB-TGGT1	ChrIa	0	1841710 	ChrIa	TgGT1
TgGT1	ToxoDB-reference	ToxoDB-TGGT1	ChrIb	0	1949725 	ChrIb	TgGT1
TgGT1	ToxoDB-reference	ToxoDB-TGGT1	ChrII	0	2257027 	ChrII	TgGT1
TgGT1	ToxoDB-reference	ToxoDB-TGGT1	ChrIII	0	2361114 	ChrIII	TgGT1
TgGT1	ToxoDB-reference	ToxoDB-TGGT1	ChrIV	0	2527423 	ChrIV	TgGT1
TgGT1	ToxoDB-reference	ToxoDB-TGGT1	ChrV	0	3030196 	ChrV	TgGT1
TgGT1	ToxoDB-reference	ToxoDB-TGGT1	ChrVI	0	3539197 	ChrVI	TgGT1
TgGT1	ToxoDB-reference	ToxoDB-TGGT1	ChrVIIa	0	4380543 	ChrVIIa	TgGT1
TgGT1	ToxoDB-reference	ToxoDB-TGGT1	ChrVIII	0	4975702 	ChrVIIb	TgGT1
TgGT1	ToxoDB-reference	ToxoDB-TGGT1	ChrVIII	0	6899611 	ChrVIII	TgGT1
TgGT1	ToxoDB-reference	ToxoDB-TGGT1	ChrIX	0	6105434 	ChrIX	TgGT1
TgGT1	ToxoDB-reference	ToxoDB-TGGT1	ChrX	0	7353086 	ChrX	TgGT1
TgGT1	ToxoDB-reference	ToxoDB-TGGT1	ChrXI	0	6541237 	ChrXI	TgGT1
TgGT1	ToxoDB-reference	ToxoDB-TGGT1	ChrXII	0	6851637 	ChrXII	TgGT1
TgME49	ToxoDB-reference	ToxoDB-TGME49	ChrIa	0	1859933 	ChrIa	TgPRU
TgME49	ToxoDB-reference	ToxoDB-TGME49	ChrIb	0	1955354 	ChrIb	TgPRU
TgME49	ToxoDB-reference	ToxoDB-TGME49	ChrII	0	2347032 	ChrII	TgPRU
TgME49	ToxoDB-reference	ToxoDB-TGME49	ChrIII	0	2532871 	ChrIII	TgPRU
TgME49	ToxoDB-reference	ToxoDB-TGME49	ChrIV	0	2686605 	ChrIV	TgPRU
TgME49	ToxoDB-reference	ToxoDB-TGME49	ChrV	0	3331915 	ChrV	TgPRU
TgME49	ToxoDB-reference	ToxoDB-TGME49	ChrVI	0	3656745 	ChrVI	TgPRU
TgME49	ToxoDB-reference	ToxoDB-TGME49	ChrVIIa	0	4541629 	ChrVIIa	TgPRU
TgME49	ToxoDB-reference	ToxoDB-TGME49	ChrVIII	0	5069724 	ChrVIIb	TgPRU
TgME49	ToxoDB-reference	ToxoDB-TGME49	ChrVIII	0	6970285 	ChrVIII	TgPRU
TgME49	ToxoDB-reference	ToxoDB-TGME49	ChrIX	0	6327655 	ChrIX	TgPRU
TgME49	ToxoDB-reference	ToxoDB-TGME49	ChrX	0	7486190 	ChrX	TgPRU
TgME49	ToxoDB-reference	ToxoDB-TGME49	ChrXI	0	6623461 	ChrXI	TgPRU
TgME49	ToxoDB-reference	ToxoDB-TGME49	ChrXII	0	7094428 	ChrXII	TgPRU
TgVEG	ToxoDB-reference	ToxoDB-TGVEG	ChrIa	0	1874844 	ChrIa	TgVEG
TgVEG	ToxoDB-reference	ToxoDB-TGVEG	ChrIb	0	1974527 	ChrIb	TgVEG
TgVEG	ToxoDB-reference	ToxoDB-TGVEG	ChrII	0	2341721 	ChrII	TgVEG
TgVEG	ToxoDB-reference	ToxoDB-TGVEG	ChrIII	0	2499703 	ChrIII	TgVEG
TgVEG	ToxoDB-reference	ToxoDB-TGVEG	ChrIV	0	2697628 	ChrIV	TgVEG
TgVEG	ToxoDB-reference	ToxoDB-TGVEG	ChrV	0	3263790 	ChrV	TgVEG
TgVEG	ToxoDB-reference	ToxoDB-TGVEG	ChrVI	0	3680711 	ChrVI	TgVEG
TgVEG	ToxoDB-reference	ToxoDB-TGVEG	ChrVIIa	0	4652733 	ChrVIIa	TgVEG
TgVEG	ToxoDB-reference	ToxoDB-TGVEG	ChrVIII	0	5093952 	ChrVIIb	TgVEG
TgVEG	ToxoDB-reference	ToxoDB-TGVEG	ChrVIII	0	6955806 	ChrVIII	TgVEG
TgVEG	ToxoDB-reference	ToxoDB-TGVEG	ChrIX	0	6372921 	ChrIX	TgVEG
TgVEG	ToxoDB-reference	ToxoDB-TGVEG	ChrX	0	7456791 	ChrX	TgVEG
TgVEG	ToxoDB-reference	ToxoDB-TGVEG	ChrXI	0	6626631 	ChrXI	TgVEG
TgVEG	ToxoDB-reference	ToxoDB-TGVEG	ChrXII	0	7144635 	ChrXII	TgVEG
TgCTG	TGS-reference	TgCTG-reference	ChrIa	0	1900375 	ChrIa	TgVEG
TgCTG	TGS-reference	TgCTG-reference	ChrIb	0	1977238 	ChrIb	TgVEG
TgCTG	TGS-reference	TgCTG-reference	ChrII	0	2516400 	ChrII	TgVEG
TgCTG	TGS-reference	TgCTG-reference	ChrIII	0	2588969 	ChrIII	TgVEG
TgCTG	TGS-reference	TgCTG-reference	ChrIV	0	2847039 	ChrIV	TgVEG
TgCTG	TGS-reference	TgCTG-reference	ChrV	0	3431465 	ChrV	TgVEG
TgCTG	TGS-reference	TgCTG-reference	ChrVI	0	3832413 	ChrVI	TgVEG
TgCTG	TGS-reference	TgCTG-reference	ChrVIII	0	12092387 	ChrVIII	TgVEG
TgCTG	TGS-reference	TgCTG-reference	ChrVIIa	0	4684986 	ChrVIIa	TgVEG
TgCTG	TGS-reference	TgCTG-reference	ChrIX	0	6607067 	ChrIX	TgVEG
TgCTG	TGS-reference	TgCTG-reference	ChrX	0	7760128 	ChrX	TgVEG
TgCTG	TGS-reference	TgCTG-reference	ChrXI	0	6680781 	ChrXI	TgVEG
TgCTG	TGS-reference	TgCTG-reference	ChrXII	0	7389637 	ChrXII	TgVEG
TgRH88	TGS-reference	TgRH88-reference	ChrIa	0	1905105 	ChrIa	TgGT1
TgRH88	TGS-reference	TgRH88-reference	ChrIb	0	2036895 	ChrIb	TgGT1
TgRH88	TGS-reference	TgRH88-reference	ChrII	0	2517460 	ChrII	TgGT1
TgRH88	TGS-reference	TgRH88-reference	ChrIII	0	2653274 	ChrIII	TgGT1
TgRH88	TGS-reference	TgRH88-reference	ChrIV	0	2784263 	ChrIV	TgGT1
TgRH88	TGS-reference	TgRH88-reference	ChrV	0	3482671 	ChrV	TgGT1
TgRH88	TGS-reference	TgRH88-reference	ChrVI	0	3884487 	ChrVI	TgGT1
TgRH88	TGS-reference	TgRH88-reference	ChrVIII	0	12055564 	ChrVIII	TgGT1
TgRH88	TGS-reference	TgRH88-reference	ChrVIIa	0	4643533 	ChrVIIa	TgGT1
TgRH88	TGS-reference	TgRH88-reference	ChrIX	0	6606532 	ChrIX	TgGT1
TgRH88	TGS-reference	TgRH88-reference	ChrX	0	7796787 	ChrX	TgGT1
TgRH88	TGS-reference	TgRH88-reference	ChrXI	0	6778623 	ChrXI	TgGT1
TgRH88	TGS-reference	TgRH88-reference	ChrXII	0	7343238 	ChrXII	TgGT1
TgME49	TGS-reference	TgME49-reference	ChrIa	0	1997081 	ChrIa	TgPRU
TgME49	TGS-reference	TgME49-reference	ChrIb	0	1982890 	ChrIb	TgPRU
TgME49	TGS-reference	TgME49-reference	ChrII	0	2497824 	ChrII	TgPRU
TgME49	TGS-reference	TgME49-reference	ChrIII	0	2591259 	ChrIII	TgPRU
TgME49	TGS-reference	TgME49-reference	ChrIV	0	2830561 	ChrIV	TgPRU
TgME49	TGS-reference	TgME49-reference	ChrV	0	3596493 	ChrV	TgPRU
TgME49	TGS-reference	TgME49-reference	ChrVI	0	3781463 	ChrVI	TgPRU
TgME49	TGS-reference	TgME49-reference	ChrVIII	0	12088238 	ChrVIII	TgPRU
TgME49	TGS-reference	TgME49-reference	ChrVIIa	0	4806021 	ChrVIIa	TgPRU
TgME49	TGS-reference	TgME49-reference	ChrIX	0	6603527 	ChrIX	TgPRU
TgME49	TGS-reference	TgME49-reference	ChrX	0	7667134 	ChrX	TgPRU
TgME49	TGS-reference	TgME49-reference	ChrXI	0	6675137 	ChrXI	TgPRU
TgME49	TGS-reference	TgME49-reference	ChrXII	0	7423918 	ChrXII	TgPRU
